fish.id,Strain,Sex,day,Treatment,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,Ate_day_3,bold.median
23-298C,WIK,Female,02,Escitalopram,c5,6.005293721,6.398776591,22.03490199,68,-1.72988564,Y,shy
23-298D,WIK,Male,01,Vehicle,c6,6.074813493,5.593891279,31.73434796,74.7,1.633996501,Y,bold
23-298D,WIK,Male,02,Vehicle,c6,7.347089763,6.708713029,24.71991821,65.1,1.633996501,Y,bold
23-299A,WIK,Female,01,Vehicle,c3,4.750139267,6.21168945,19.81683258,66.4,0.93044321,Y,bold
23-299A,WIK,Female,02,Vehicle,c3,7.269165835,7.031260525,26.67809128,58.8,0.93044321,Y,bold
23-299B,WIK,Male,01,Escitalopram,c4,7.921173594,7.683987056,28.21875592,47.4,-0.30788356,Y,shy
23-299B,WIK,Male,02,Escitalopram,c4,9.180908966,7.423596078,20.57504937,36.6,-0.30788356,Y,shy
23-299C,WIK,Male,01,Vehicle,c5,8.356093573,6.9096626,26.4787699,67,2.338162634,Y,bold
23-299C,WIK,Male,02,Vehicle,c5,7.912209978,6.700949662,18.42489686,56,2.338162634,Y,bold
23-299D,WIK,Female,01,Escitalopram,c6,5.419711353,6.210211637,20.73557923,61.5,0.722051429,Y,bold
23-299D,WIK,Female,02,Escitalopram,c6,5.612170153,5.947655503,23.61127676,70.8,0.722051429,Y,bold
23-327A,WIK,Male,01,Vehicle,c3,5.455325876,7.31932893,33.03082205,58.2,-0.773700374,Y,shy
23-327A,WIK,Male,02,Vehicle,c3,6.058159497,7.776473816,31.53672504,54.9,-0.773700374,Y,shy
23-327B,WIK,Female,01,Escitalopram,c4,2.768736827,6.424139809,14.89554747,54.6,-1.649706426,Y,shy
23-327B,WIK,Female,02,Escitalopram,c4,7.7670205,6.695573319,15.50527466,51.7,-1.649706426,Y,shy
23-327C,WIK,Female,01,Vehicle,c5,7.162276761,7.779600388,23.26300537,49,0.210375582,Y,bold
23-327C,WIK,Female,02,Vehicle,c5,7.197365895,7.24843254,23.03487359,59.8,0.210375582,Y,bold
23-327D,WIK,Male,01,Escitalopram,c6,6.539637779,8.0337827,30.55846277,51.3,-0.825303142,Y,shy
23-327D,WIK,Male,02,Escitalopram,c6,8.007477628,7.731218401,21.8805695,47.3,-0.825303142,Y,shy
23-328A,WIK,Female,01,Vehicle,c3,4.044858391,6.689363054,21.32095585,62.6,0.060684768,Y,shy
23-328A,WIK,Female,02,Vehicle,c3,3.747069694,6.096414576,19.60637019,63.5,0.060684768,Y,shy
23-328B,WIK,Male,01,Escitalopram,c4,5.2039448,5.807102016,24.90935205,73.9,0.919354888,Y,bold
23-328B,WIK,Male,02,Escitalopram,c4,7.306620251,5.286580765,23.71837582,68.9,0.919354888,Y,bold
23-328C,WIK,Male,01,Vehicle,c5,6.405647438,5.517467897,25.62413264,75.9,2.012316192,Y,bold
23-328C,WIK,Male,02,Vehicle,c5,6.365139745,7.391017063,23.89663353,65.5,2.012316192,Y,bold
23-328D,WIK,Female,01,Escitalopram,c6,3.569981505,7.158718315,24.05731132,49.7,-1.781952323,Y,shy
23-328D,WIK,Female,02,Escitalopram,c6,4.773310377,7.156345226,23.62533497,58.7,-1.781952323,Y,shy
23-329B,WIK,Female,01,Vehicle,c4,5.425593502,4.811458944,23.19544512,66.5,1.333211641,Y,bold
23-329B,WIK,Female,02,Vehicle,c4,7.393028928,7.154203465,23.86212453,54.5,1.333211641,Y,bold
23-330A,WIK,Female,01,Escitalopram,c3,6.065147572,7.440215174,28.11865506,53.9,0.17151231,Y,bold
23-330A,WIK,Female,02,Escitalopram,c3,6.468061606,6.954005569,21.55157141,59.3,0.17151231,Y,bold
23-330B,WIK,Male,01,Vehicle,c4,7.202683677,7.354755069,35.05277753,61.7,0.886104098,Y,bold
23-330B,WIK,Male,02,Vehicle,c4,7.064656837,6.204469313,29.37037452,69.9,0.886104098,Y,bold
23-330C,WIK,Male,01,Escitalopram,c5,7.235738592,5.78604495,28.46398645,76.1,2.626427356,Y,bold
23-330C,WIK,Male,02,Escitalopram,c5,7.46001912,5.405323678,16.13577186,65.3,2.626427356,Y,bold
23-330D,WIK,Female,01,Vehicle,c6,4.517845011,6.384527277,25.43420318,68.2,1.014901194,Y,bold
23-330D,WIK,Female,02,Vehicle,c6,6.502015275,6.3082432,30.41167172,71.6,1.014901194,Y,bold
23-331A,WIK,Male,01,Vehicle,c3,4.722570833,7.404125661,39.15106148,64.5,-0.54364443,Y,shy
23-331A,WIK,Male,02,Vehicle,c3,6.572448692,7.1673391,28.33684859,58.4,-0.54364443,Y,shy
23-331B,WIK,Female,01,Escitalopram,c4,6.445826363,7.498173977,25.20009932,49.8,-0.106704267,Y,shy
23-331B,WIK,Female,02,Escitalopram,c4,6.361776963,6.870619174,18.723107,55.1,-0.106704267,Y,shy
23-331C,WIK,Female,01,Vehicle,c5,3.069489384,7.243754298,19.07405146,46.8,-2.423885467,Y,shy
23-331C,WIK,Female,02,Vehicle,c5,2.861887177,6.728684072,21.96772461,60.2,-2.423885467,Y,shy
23-338A,WIK,Female,01,Vehicle,c3,5.005738345,7.180359561,17.5405541,50.2,-0.890882377,Y,shy
23-338A,WIK,Female,02,Vehicle,c3,5.294731118,6.531470368,15.86823095,54.8,-0.890882377,Y,shy
23-338C,WIK,Male,01,Vehicle,c5,5.786513603,6.787975317,30.30674007,75,1.464757443,Y,bold
23-338C,WIK,Male,02,Vehicle,c5,4.485272054,6.070587039,25.59202506,76.4,1.464757443,Y,bold
23-338D,WIK,Female,01,Escitalopram,c6,4.283042166,7.268513908,23.00991299,48.8,-1.47898792,Y,shy
23-338D,WIK,Female,02,Escitalopram,c6,4.763358302,6.983222699,22.57211693,59.7,-1.47898792,Y,shy
23-339B,WIK,Female,01,Escitalopram,c4,6.428093079,7.803917559,31.81686681,53.1,0.284161289,Y,bold
23-339B,WIK,Female,02,Escitalopram,c4,7.94407218,8.138105919,25.97571852,37.7,0.284161289,Y,bold
23-339C,WIK,Female,01,Vehicle,c5,6.09650155,7.63027564,23.50241588,51.7,-0.07776955,Y,shy
23-339C,WIK,Female,02,Vehicle,c5,7.32707239,8.074051918,25.34681139,46.4,-0.07776955,Y,shy
23-340A,WIK,Female,01,Escitalopram,c3,4.742078715,6.940694798,21.41589409,61.9,0.378799092,Y,bold
23-340A,WIK,Female,02,Escitalopram,c3,7.441562617,7.735196153,25.50190094,44.7,0.378799092,Y,bold
23-340B,WIK,Male,01,Vehicle,c4,3.949360147,6.646434468,27.47309472,66.6,-0.843094629,Y,shy
23-340B,WIK,Male,02,Vehicle,c4,5.778553421,7.540058166,32.37008115,53.4,-0.843094629,Y,shy
23-340C,WIK,Male,01,Escitalopram,c5,6.353159615,7.818424503,40.32313604,62,0.317786206,Y,bold
23-340C,WIK,Male,02,Escitalopram,c5,6.671521318,7.077918768,24.42255259,57.7,0.317786206,Y,bold
23-340D,WIK,Female,01,Vehicle,c6,5.812034411,6.820353854,20.85249624,61.2,0.91246522,Y,bold
23-340D,WIK,Female,02,Vehicle,c6,5.561622558,7.098630115,21.6793206,58.6,0.91246522,Y,bold
23-341A,WIK,Male,01,Escitalopram,c3,4.188913674,6.330067292,28.06664674,69.5,-0.32700325,Y,shy
23-341A,WIK,Male,02,Escitalopram,c3,3.515778207,6.239185856,14.66784655,47,-0.32700325,Y,shy
23-341B,WIK,Female,01,Vehicle,c4,2.283755275,5.78348928,17.0197565,51.6,-2.294825024,Y,shy
23-341B,WIK,Female,02,Vehicle,c4,6.017904843,7.910318194,29.67123306,44.3,-2.294825024,Y,shy
23-341C,WIK,Female,01,Escitalopram,c5,7.198881411,7.270667622,26.58943526,59.9,1.556457655,Y,bold
23-341C,WIK,Female,02,Escitalopram,c5,7.619817304,7.077680181,22.51368803,61.1,1.556457655,Y,bold
23-341D,WIK,Male,01,Vehicle,c6,4.825267346,6.81491344,26.25234807,62.3,-0.732910038,Y,shy
23-341D,WIK,Male,02,Vehicle,c6,5.044912637,6.681684905,17.25593843,56.9,-0.732910038,Y,shy
23-342A,WIK,Female,01,Vehicle,c3,4.461301694,7.352279897,29.19497073,58.1,-0.245469981,Y,shy
23-342A,WIK,Female,02,Vehicle,c3,6.125816386,7.673398693,29.23987737,46.9,-0.245469981,Y,shy
23-342B,WIK,Male,01,Escitalopram,c4,5.309902052,7.22902905,29.69374365,59.6,-0.71019637,Y,shy
23-342B,WIK,Male,02,Escitalopram,c4,3.107008769,5.409516183,25.04559305,55.7,-0.71019637,Y,shy
23-342C,WIK,Male,01,Vehicle,c5,2.851819633,6.355066661,25.46936383,63.5,-1.993133517,Y,shy
23-342C,WIK,Male,02,Vehicle,c5,3.901216184,6.206786975,26.39319928,69.8,-1.993133517,Y,shy
23-342D,WIK,Female,01,Escitalopram,c6,5.908353306,7.534229417,29.16427336,55.4,0.263166208,Y,bold
23-342D,WIK,Female,02,Escitalopram,c6,6.508809492,7.118763293,22.96865803,59.2,0.263166208,Y,bold
23-370A,WIK,Male,01,Vehicle,c3,7.199393359,6.461609995,29.07394887,67.1,1.527571283,Y,bold
23-370A,WIK,Male,02,Vehicle,c3,6.983931395,7.178615782,26.36458736,50.7,1.527571283,Y,bold
23-370B,WIK,Female,01,Escitalopram,c4,4.469141866,4.498486906,23.20417571,64.3,0.51268461,Y,bold
23-370B,WIK,Female,02,Escitalopram,c4,3.193564994,5.013178249,20.45650411,61.6,0.51268461,Y,bold
23-370C,WIK,Female,01,Vehicle,c5,3.557565856,6.934171555,18.51491476,46.3,-2.202408093,Y,shy
23-370C,WIK,Female,02,Vehicle,c5,3.891379376,6.388988301,27.71020482,63.4,-2.202408093,Y,shy
23-370D,WIK,Male,01,Escitalopram,c6,5.875776147,7.325111299,23.51310296,57.7,-0.534335686,Y,shy
23-370D,WIK,Male,02,Escitalopram,c6,2.620827715,4.41077352,12.25636239,46.8,-0.534335686,Y,shy
23-371A,WIK,Female,01,Vehicle,c3,6.431579007,7.620338585,26.73691162,45.2,-0.674081368,Y,shy
23-371A,WIK,Female,02,Vehicle,c3,8.679520783,6.357786981,15.97445157,52.9,-0.674081368,Y,shy
23-371B,WIK,Male,01,Escitalopram,c4,7.768684131,5.559093685,24.84102942,68.7,2.12314376,Y,bold
23-371B,WIK,Male,02,Escitalopram,c4,7.062941511,7.383870741,23.9144985,49.1,2.12314376,Y,bold
23-371C,WIK,Male,01,Vehicle,c5,5.245870529,7.168094518,35.64726012,71.2,0.627264258,Y,bold
23-371C,WIK,Male,02,Vehicle,c5,5.339039944,7.266085604,29.45716526,62.6,0.627264258,Y,bold
23-371D,WIK,Female,01,Escitalopram,c6,6.864144769,6.819063421,21.70192626,63.9,1.849087275,Y,bold
23-371D,WIK,Female,02,Escitalopram,c6,7.292169097,6.503380828,16.85816049,58.2,1.849087275,Y,bold
23-372A,WIK,Male,01,Escitalopram,c3,7.456479319,7.12887755,29.8326686,50.1,-0.31641786,Y,shy
23-372A,WIK,Male,02,Escitalopram,c3,7.619063125,6.673636229,17.13194542,54,-0.31641786,Y,shy
23-372B,WIK,Female,01,Vehicle,c4,3.426616132,6.290660043,23.09553757,65.3,0.031346666,Y,shy
23-372B,WIK,Female,02,Vehicle,c4,5.371574958,5.40529562,14.37870284,58.8,0.031346666,Y,shy
23-372C,WIK,Female,01,Escitalopram,c5,6.235684015,7.164948389,22.38586688,47,-0.568573794,Y,shy
23-372C,WIK,Female,02,Escitalopram,c5,7.756922685,7.760497885,23.93522239,39.5,-0.568573794,Y,shy
23-373A,WIK,Female,01,Escitalopram,c3,4.350289861,5.597845283,21.46668477,69,1.015245901,Y,bold
23-373A,WIK,Female,02,Escitalopram,c3,7.950320198,6.103559427,15.67800331,50.7,1.015245901,Y,bold
23-373B,WIK,Male,01,Vehicle,c4,6.794903587,7.360524282,29.17380462,56,-0.083436681,Y,bold
