fish.id,Strain,Sex,day,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,NE(ng/mg),DOPAC(ng/mg),DA(ng/mg),5HIAA(ng/mg),5HT(ng/mg),5HIAA:5HT,DOPAC:DA
22-558D,WIK,F,02,c4,9.927425734,5.015621138,20.05462607,49.4,0.337169971,0.535015025,0.086269337,0.243549469,0.02296358,0.230208787,0.099751101,0.354216896
22-558D,WIK,F,03,c4,7.115510968,7.126468609,28.61470678,60.2,-0.189248813,0.535015025,0.086269337,0.243549469,0.02296358,0.230208787,0.099751101,0.354216896
22-559B,WIK,F,01,c4,5.011905624,3.850603078,26.60575608,44.6,-2.073627249,0.576334312,0.115711415,0.259302294,0.02105322,0.214181841,0.098296008,0.446241386
22-559B,WIK,F,02,c4,9.636349827,4.254487248,19.65331708,52,0.357232113,0.576334312,0.115711415,0.259302294,0.02105322,0.214181841,0.098296008,0.446241386
22-559B,WIK,F,03,c4,8.136090469,6.50030824,15.9245145,52.3,-0.184222661,0.576334312,0.115711415,0.259302294,0.02105322,0.214181841,0.098296008,0.446241386
22-560A,WIK,F,01,c3,10.60118402,3.80355212,28.47674244,16.1,-1.005199108,0.54940816,0.098824919,0.250380768,0.023785174,NA,NA,0.394698522
22-560A,WIK,F,02,c3,7.710906119,4.156429567,27.32327939,53.4,-0.529970492,0.54940816,0.098824919,0.250380768,0.023785174,NA,NA,0.394698522
22-560A,WIK,F,03,c3,7.870886562,6.410852181,26.05087291,65.6,0.532234896,0.54940816,0.098824919,0.250380768,0.023785174,NA,NA,0.394698522
22-560B,WIK,M,01,c4,8.696057398,6.67003509,42.0332593,65.4,0.609941599,0.406406865,0.1506879,0.190522554,0.029952112,0.15455425,0.193796754,0.790918959
22-560B,WIK,M,02,c4,8.066926308,6.760130298,33.76694346,68.3,0.407662443,0.406406865,0.1506879,0.190522554,0.029952112,0.15455425,0.193796754,0.790918959
22-560B,WIK,M,03,c4,7.59797153,6.745569722,31.95285184,68.5,0.605704521,0.406406865,0.1506879,0.190522554,0.029952112,0.15455425,0.193796754,0.790918959
22-560C,WIK,M,01,c3,3.282051497,6.027583282,28.63163098,74,-1.488872053,0.406266728,0.092784103,0.207051517,0.033352574,0.222790733,0.149703597,0.448120856
22-560C,WIK,M,02,c3,4.677319847,5.11450022,27.29236361,73.1,-1.043998976,0.406266728,0.092784103,0.207051517,0.033352574,0.222790733,0.149703597,0.448120856
22-560C,WIK,M,03,c3,3.885512128,5.680415499,25.01666961,75.2,-1.014314992,0.406266728,0.092784103,0.207051517,0.033352574,0.222790733,0.149703597,0.448120856
22-560D,WIK,F,01,c4,6.16738484,6.387930902,22.7412038,65,-0.36189982,0.510086573,0.072796127,0.220827354,0.02397716,0.130282868,0.18403924,0.329651765
22-560D,WIK,F,02,c4,8.503313755,5.23971397,22.45139445,64.2,0.569557168,0.510086573,0.072796127,0.220827354,0.02397716,0.130282868,0.18403924,0.329651765
22-560D,WIK,F,03,c4,8.270926215,6.806416419,23.8768742,61.8,0.489314985,0.510086573,0.072796127,0.220827354,0.02397716,0.130282868,0.18403924,0.329651765
22-561B,WIK,F,01,c4,7.928888389,6.163976355,30.61329971,66.5,0.569193105,0.460557203,0.079435913,0.228577953,0.035306966,0.156063104,0.22623519,0.3475222
22-561B,WIK,F,02,c4,7.600663092,6.064775128,24.76529689,62.3,-0.011391414,0.460557203,0.079435913,0.228577953,0.035306966,0.156063104,0.22623519,0.3475222
22-561B,WIK,F,03,c4,7.459843544,6.575757328,26.82597843,62.4,0.122942839,0.460557203,0.079435913,0.228577953,0.035306966,0.156063104,0.22623519,0.3475222
22-561C,WIK,F,01,c3,6.408775206,3.233652044,37.07365362,46.6,-1.289313369,0.528168295,0.09283126,0.183687203,0.021696321,0.14642543,0.148173176,0.50537685
22-561C,WIK,F,02,c3,10.9063045,3.88640736,20.6865723,12.9,-1.522142416,0.528168295,0.09283126,0.183687203,0.021696321,0.14642543,0.148173176,0.50537685
22-561C,WIK,F,03,c3,9.80423441,4.844705268,22.90982641,45.2,0.194938116,0.528168295,0.09283126,0.183687203,0.021696321,0.14642543,0.148173176,0.50537685
22-561D,WIK,M,01,c4,2.170603944,4.240600599,74.65330441,66.6,-2.525968233,0.690547144,0.150650164,0.233611334,0.045276744,0.256159256,0.176752325,0.644875235
22-561D,WIK,M,02,c4,7.142057406,5.185593854,25.28299465,71.9,0.255834012,0.690547144,0.150650164,0.233611334,0.045276744,0.256159256,0.176752325,0.644875235
22-561D,WIK,M,03,c4,6.755064304,5.479201372,24.44867311,69.4,0.183579536,0.690547144,0.150650164,0.233611334,0.045276744,0.256159256,0.176752325,0.644875235
22-562A,WIK,F,01,c3,3.919631483,4.20488948,25.48544284,51.7,-2.195640809,0.763279222,0.119012673,0.269307399,0.015485814,0.215811836,0.071756092,0.441921289
22-562A,WIK,F,02,c3,8.169153456,6.137507948,17.17211129,52.5,-0.355411,0.763279222,0.119012673,0.269307399,0.015485814,0.215811836,0.071756092,0.441921289
22-562A,WIK,F,03,c3,7.011824135,7.012937621,20.24326798,55.5,-0.54092195,0.763279222,0.119012673,0.269307399,0.015485814,0.215811836,0.071756092,0.441921289
22-562B,WIK,M,01,c4,8.527395019,6.249862832,11.23237621,47,-0.690183141,0.455065933,0.148825599,0.194667197,0.029506996,0.168711805,0.174895859,0.764512981
22-562B,WIK,M,02,c4,8.29879553,5.847239918,32.11442387,67.2,0.424666961,0.455065933,0.148825599,0.194667197,0.029506996,0.168711805,0.174895859,0.764512981
22-562B,WIK,M,03,c4,7.525777962,6.08085399,35.10140702,76,1.218403781,0.455065933,0.148825599,0.194667197,0.029506996,0.168711805,0.174895859,0.764512981
22-562C,WIK,M,01,c3,6.426219392,5.136329181,35.10854001,75.8,0.179407202,0.599102492,0.143724871,0.259380852,0.051412363,0.294900292,0.174338122,0.554107483
22-562C,WIK,M,02,c3,7.289830228,3.604347279,26.99065222,52.5,-1.727599782,0.599102492,0.143724871,0.259380852,0.051412363,0.294900292,0.174338122,0.554107483
22-562C,WIK,M,03,c3,4.883310617,3.134129212,17.50812121,36.1,-3.839311009,0.599102492,0.143724871,0.259380852,0.051412363,0.294900292,0.174338122,0.554107483
22-562D,WIK,F,01,c4,6.560435578,3.99040175,25.83779458,43.5,-1.392254072,0.552484682,0.17295862,0.263094638,0.033538931,0.213408497,0.157158368,0.657400779
22-562D,WIK,F,02,c4,10.63003395,4.2876776,25.9800928,22.7,-1.029757716,0.552484682,0.17295862,0.263094638,0.033538931,0.213408497,0.157158368,0.657400779
22-562D,WIK,F,03,c4,7.157853934,6.999253128,22.74244811,56.7,-0.391484307,0.552484682,0.17295862,0.263094638,0.033538931,0.213408497,0.157158368,0.657400779
22-582B,WIK,F,01,c6,9.893502505,5.430902516,22.26458426,59.4,1.110185087,0.650052696,0.063618802,0.277307243,0.057220017,0.130473213,0.438557583,0.229416301
22-582B,WIK,F,02,c6,8.636872604,7.026612376,26.13994564,56.7,0.153194811,0.650052696,0.063618802,0.277307243,0.057220017,0.130473213,0.438557583,0.229416301
22-582B,WIK,F,03,c6,7.843756924,7.316035142,32.52099567,50.9,-0.419417166,0.650052696,0.063618802,0.277307243,0.057220017,0.130473213,0.438557583,0.229416301
22-582C,WIK,F,01,c5,8.494146804,5.567395368,21.16865947,63.4,0.664900476,0.112443977,0.028233846,0.052408819,0.001403697,NA,NA,0.538723187
22-582C,WIK,F,02,c5,7.531652484,7.095428715,26.39307942,64.2,0.076227731,0.112443977,0.028233846,0.052408819,0.001403697,NA,NA,0.538723187
22-582C,WIK,F,03,c5,7.481831477,6.686497408,23.50928971,64.4,0.2615479,0.112443977,0.028233846,0.052408819,0.001403697,NA,NA,0.538723187
22-582D,WIK,M,01,c6,10.15243423,5.714237676,21.85214438,56.9,0.76533055,0.519583718,0.143443725,0.263600792,0.040335782,0.196435577,0.205338476,0.544170311
22-582D,WIK,M,02,c6,10.09454369,6.374023516,19.07320867,54.9,0.153125398,0.519583718,0.143443725,0.263600792,0.040335782,0.196435577,0.205338476,0.544170311
